epochs,accuracy_train,accuracy_test
0,0.8071616,0.8804983
1,0.98556453,0.8964297
2,0.9951287,0.9003552
3,0.996965,0.9037926
4,0.9977811,0.91894937
6,0.99844426,0.9283471
7,0.9986993,0.937649
8,0.9984697,0.9450476
9,0.9986483,0.9454818
