epochs,loss_train,loss_test
0,0.5243770969609257,0.3805354018930835
1,0.055487954084340596,0.34887855725287636
2,0.028732341276079137,0.32574645968887844
3,0.026236408658258825,0.3050101591895024
6,0.020280343502651496,0.2781653404423986
