epochs,accuracy_train,accuracy_test
0,0.80042845,0.8032204
1,0.9656457,0.8353904
2,0.97957104,0.8697365
3,0.985488,0.87257564
6,0.9903849,0.87579596
7,0.9920936,0.8970821
9,0.9934709,0.89998287
