epochs,accuracy_train,accuracy_test
0,0.8934683,0.94478476
1,0.9958173,0.94801474
3,0.9958428,0.9628608
7,0.99507767,0.96931434
9,0.9978066,0.9726521
19,0.99905634,0.9738438
23,0.9988523,0.9774634
26,0.99956644,0.97870433
27,0.99992347,0.98249894
28,1.0,0.9834522
