epochs,accuracy_train,accuracy_test
0,0.8956872,0.9112788
1,0.9940575,0.91569793
2,0.9983422,0.9485881
3,0.999796,0.9626
6,1.0,0.96350527
10,1.0,0.96489006
17,1.0,0.96525896
19,1.0,0.965754
20,1.0,0.96584797
22,1.0,0.96712166
26,1.0,0.9672452
27,1.0,0.96785414
38,0.99956644,0.9763614
