epochs,loss_train,loss_test
1,35.6130747795105,
2,22.445762872695923,
3,20.52709197998047,
4,15.876347780227661,
5,12.330091714859009,
6,9.96261477470398,
7,8.738174378871918,
8,8.068548262119293,
9,7.727662146091461,
10,7.411030471324921,
11,7.024362504482269,
12,6.759219288825989,
13,6.463684380054474,
14,6.198000967502594,
15,5.8726571798324585,
16,5.575206696987152,
17,5.206087708473206,
18,4.890069782733917,
19,4.6238643527030945,
20,4.325552523136139,
21,4.05073207616806,
22,3.750839740037918,
23,3.466499298810959,
24,3.2189259827136993,
25,2.9933979511260986,
26,2.7141388952732086,
27,2.4689480662345886,
28,2.2628238797187805,
29,2.044424891471863,
30,1.830843523144722,
31,1.647560715675354,
32,1.4937781691551208,
33,1.3613066673278809,
34,1.2120958715677261,
35,1.065796136856079,
36,0.972410574555397,
37,0.8642947524785995,
38,0.7684712037444115,
39,0.6891576051712036,
40,0.6568640619516373,
41,0.6365063264966011,
42,0.6223637983202934,
43,0.6109061539173126,
44,0.597315639257431,
45,0.5916843563318253,
46,0.5802219733595848,
47,0.5710238367319107,
48,0.566458273679018,
49,0.5558279491961002,
50,0.5523935966193676,
51,0.5393930450081825,
52,0.5323667153716087,
53,0.5292145274579525,
54,0.5207535289227962,
55,0.511552058160305,
56,0.5046229735016823,
57,0.49923405051231384,
58,0.491177249699831,
59,0.48600194975733757,
60,0.48019663989543915,
61,0.4733014553785324,
62,0.46875255554914474,
63,0.45940788462758064,
64,0.4557350426912308,
65,0.4462158791720867,
66,0.44266264513134956,
67,0.4354190453886986,
68,0.43060382828116417,
69,0.4261138513684273,
70,0.4191565252840519,
71,0.4137088507413864,
72,0.406962588429451,
73,0.40309904888272285,
74,0.39783332869410515,
75,0.39185428991913795,
76,0.38635046035051346,
78,0.3849927484989166,
82,0.38431083783507347,
84,0.3828061744570732,
87,0.38034263253211975,
91,0.37939490750432014,
92,0.3788902871310711,
93,0.3788861446082592,
95,0.3785902112722397,
96,0.3756025619804859,
101,0.3744562976062298,
102,0.373945627361536,
103,0.37345705926418304,
104,0.37303756549954414,
105,0.37188996374607086,
106,0.37105757743120193,
108,0.37012722715735435,
110,0.36961011961102486,
111,0.3678845018148422,
112,0.36680249497294426,
115,0.3664778023958206,
116,0.36579102650284767,
122,0.36514081433415413,
123,0.36497461795806885,
131,0.36490094289183617,
133,0.3647986017167568,
138,0.36436253786087036,
143,0.3635706678032875,
160,0.3634476251900196,
173,0.36288145184516907,
185,0.3624819628894329,
342,0.3622214123606682,
1031,0.3619839772582054,
