epochs,accuracy_train,accuracy_test
0,0.85819584,0.8413552
1,0.9824275,0.8492974
2,0.9916091,0.8522714
3,0.9919661,0.8648624
4,0.9945931,0.8792255
5,0.99382794,0.8859905
6,0.99469507,0.89547974
10,0.99571526,0.90111625
11,0.997322,0.9157539
13,0.99566424,0.9192133
19,0.9975771,0.9210636
22,0.9994899,0.92147017
28,0.99964297,0.92353183
30,0.9987758,0.92907244
33,0.9986228,0.9372909
42,1.0,0.93745804
44,1.0,0.9390306
45,1.0,0.940429
46,1.0,0.9411652
49,0.99989796,0.94574046
59,1.0,0.9463222
